Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11205.0,35.0,191,BK69,Preservation,Non Prevailing Wage,3,3,0,6,0,6,6
DON L.W. RESYNDICATION,Multifamily Finance Program,Bronx,10459.0,16.0,153,BX75,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
EAST 142ND STREET APARTMENTS,Multifamily Incentives Program,Bronx,10454.0,8.0,41,BX39,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
REBIRTH REALTY CORP HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10458.0,15.0,23702,BX05,Preservation,Non Prevailing Wage,0,2,12,14,0,14,14
961 WILLOUGHBY AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,391,BK78,New Construction,Non Prevailing Wage,0,0,13,13,0,13,63
LINDSAY PARK.HRP.FY18,Multifamily Finance Program,Brooklyn,11206.0,34.0,511,BK90,Preservation,Non Prevailing Wage,0,174,212,0,387,387,387
HCCI 2,Multifamily Finance Program,Manhattan,10027.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,16,16,0,16,16
NORTH BROOKLYN OPPORTUNITIES (NBO),Multifamily Finance Program,Brooklyn,11206.0,34.0,511,BK90,New Construction,Non Prevailing Wage,0,0,4,4,0,4,4
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,196,MN34,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,23,8,18,49,0,49,49
CELEBRATION TOWNHOUSES,Multifamily Finance Program,Staten Island,10304.0,49.0,40,SI08,Preservation,Non Prevailing Wage,0,0,11,0,11,11,11
Brighton Houses Coop,Multifamily Finance Program,Brooklyn,11235.0,48.0,36002,BK19,Preservation,Non Prevailing Wage,0,0,0,0,193,193,193
GLENDALE APARTMENTS.PILLARS.FY19,Multifamily Finance Program,Queens,11385.0,30.0,577,QN19,Preservation,Non Prevailing Wage,0,6,3,24,0,24,24
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11417.0,32.0,864,QN55,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,95,61,156,0,156,156
THE ARCHES,Multifamily Incentives Program,Bronx,10451.0,8.0,51,BX39,New Construction,Non Prevailing Wage,0,0,0,129,0,129,240
Academy Gardens LLC,Multifamily Finance Program,Bronx,10473.0,18.0,20,BX09,Preservation,Non Prevailing Wage,4,17,26,59,0,59,59
76 PALMETTO STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,399,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Praxis. 2270 Loring Place North,Multifamily Finance Program,Bronx,10468.0,14.0,255,BX30,New Construction,Prevailing Wage,51,0,14,66,0,66,66
2245 CRESTON AVENUE,Multifamily Incentives Program,Bronx,10453.0,14.0,23704,BX40,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
DON L.W. RESYNDICATION,Multifamily Finance Program,Bronx,10459.0,17.0,123,BX75,Preservation,Non Prevailing Wage,0,0,50,50,0,50,50
1520 SEDGWICK AVENUE HDFC.PLP.FY19,Multifamily Finance Program,Bronx,10453.0,16.0,20501,BX36,Preservation,Non Prevailing Wage,0,0,87,102,0,102,102
1199 HOUSING CORP.PLP.FY19,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,Preservation,Non Prevailing Wage,69,326,0,0,396,396,396
1645 NEW YORK AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
WEST 144 CLUSTER LLC.YR15.FY21,Multifamily Finance Program,Manhattan,10030.0,9.0,232,MN03,Preservation,Non Prevailing Wage,7,11,1,19,0,19,19
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11412.0,27.0,526,QN08,Preservation,Non Prevailing Wage,0,0,0,0,1,1,1
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,1152,BK82,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,100,BK34,Preservation,Non Prevailing Wage,5,0,0,6,0,6,6
3055 VALENTINE AVENUE,Multifamily Incentives Program,Bronx,10458.0,11.0,413,BX05,New Construction,Non Prevailing Wage,0,0,0,9,0,9,30
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
284-298 East 162nd Street,Multifamily Finance Program,Bronx,10451.0,17.0,173,BX14,New Construction,Non Prevailing Wage,37,0,88,126,0,126,126
9 FORT WASHINGTON AVENUE CLUSTER,Multifamily Finance Program,Manhattan,10032.0,7.0,247,MN36,Preservation,Non Prevailing Wage,0,0,0,0,25,25,25
Grand & Rogers Cluster - JGV,Multifamily Finance Program,Bronx,10456.0,16.0,17701,BX14,Preservation,Non Prevailing Wage,0,0,0,12,0,12,12
102 SOMERS STREET,Multifamily Incentives Program,Brooklyn,11233.0,37.0,369,BK79,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
TRIPLE HDFC.HPO.FY19,Multifamily Finance Program,Manhattan,10035.0,8.0,188,MN34,Preservation,Non Prevailing Wage,1,0,12,13,0,13,13
TMN904 - PRECISE,Multifamily Finance Program,Manhattan,10027.0,9.0,224,MN03,Preservation,Non Prevailing Wage,0,3,15,19,0,19,19
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,153,54,0,207,207,207
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
96 HIMROD STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,382,BX44,Preservation,Non Prevailing Wage,0,0,1,3,0,3,3
URBAN HORIZONS HDFC.YR15.FY18,Multifamily Finance Program,Bronx,10452.0,16.0,197,BX63,Preservation,Non Prevailing Wage,4,121,6,132,0,132,132
1043 FULTON STREET (BPL OFFSITE 1 OF 2),Multifamily Incentives Program,Brooklyn,11238.0,35.0,227,BK69,New Construction,Non Prevailing Wage,0,0,15,37,0,37,37
LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,Manhattan,10027.0,9.0,226,MN03,Preservation,Non Prevailing Wage,0,0,0,0,29,29,29
PENN SOUTH,Multifamily Incentives Program,Manhattan,10001.0,3.0,97,MN13,Preservation,Non Prevailing Wage,58,49,60,0,294,294,378
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,265,BK75,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
Bay Park II Apartments (20140286),Multifamily Incentives Program,Brooklyn,11224.0,47.0,330,BK21,Preservation,Non Prevailing Wage,0,0,73,73,0,73,73
1755 WATSON AVENUE,Multifamily Finance Program,Bronx,10472.0,18.0,70,BX55,New Construction,Non Prevailing Wage,15,18,35,68,0,68,68
Hill House,Multifamily Finance Program,Bronx,10453.0,14.0,217,BX36,Preservation,Non Prevailing Wage,42,1,0,44,0,44,44
Webster Ryer (aka Mid-Webster Renewal),Multifamily Finance Program,Bronx,10458.0,15.0,23702,BX05,Preservation,Non Prevailing Wage,0,0,36,36,0,36,36
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,0,17,12,30,0,30,30
211 MCGUINESS,ANY (421a) Standalone,Brooklyn,11222.0,33.0,575,BK76,New Construction,Non Prevailing Wage,0,0,0,20,0,20,197
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
HIGHLAWN TERRACE INC. (LOAN II),Multifamily Finance Program,Brooklyn,11223.0,47.0,410,BK29,Preservation,Non Prevailing Wage,3,59,0,0,63,63,63
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,0,30,18,49,0,49,49
Bronx Shepherds,Multifamily Finance Program,Bronx,10457.0,15.0,231,BX41,Preservation,Non Prevailing Wage,0,2,7,9,0,9,9
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
Randolph Houses Phase II,Multifamily Finance Program,Manhattan,10026.0,9.0,218,MN11,Preservation,Non Prevailing Wage,8,4,102,115,0,115,115
HCCI 2,Multifamily Finance Program,Manhattan,10026.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,0,13,13,0,13,13
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,382,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
KNICKERBOCKER VILLAGE,Multifamily Incentives Program,Manhattan,10002.0,1.0,8,MN27,Preservation,Non Prevailing Wage,0,0,98,123,0,123,123
CELEBRATION TOWNHOUSES,Multifamily Finance Program,Staten Island,10304.0,49.0,40,SI08,Preservation,Non Prevailing Wage,0,0,19,0,19,19,19
Cooper Square. 222 East 13th St. Ali Forney,Multifamily Finance Program,Manhattan,10003.0,2.0,40,MN22,Preservation,Non Prevailing Wage,18,0,0,18,0,18,18
STEVENSON COMMONS,Multifamily Finance Program,Bronx,10473.0,18.0,16,BX09,Preservation,Non Prevailing Wage,0,45,0,45,0,45,45
263 FRANKLIN AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11205.0,36.0,233,BK75,New Construction,Non Prevailing Wage,0,0,0,6,0,6,18
140 JOHNSON AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,505,BK90,Preservation,Non Prevailing Wage,0,0,22,22,0,22,23
STANLEY COMMONS,Multifamily Finance Program,Brooklyn,11207.0,42.0,1106,BK82,New Construction,Non Prevailing Wage,0,0,89,89,0,89,89
Village East Towers (HDC),Multifamily Finance Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Prevailing Wage,0,0,0,0,16,16,16
BEACH 21ST STREET,Multifamily Finance Program,Queens,11691.0,31.0,100802,QN15,New Construction,Non Prevailing Wage,23,88,112,224,0,224,224
876 BERGEN STREET,Multifamily Incentives Program,Brooklyn,11238.0,35.0,305,BK61,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
225 HOWARD AVENUE,Multifamily Incentives Program,Brooklyn,11233.0,41.0,379,BK35,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
JAMIES PLACE HDFC. HUDMF. FY18,Multifamily Finance Program,Manhattan,10035.0,9.0,182,MN34,Preservation,Non Prevailing Wage,16,2,1,20,0,20,20
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11411.0,27.0,600,QN33,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
233 BUFFALO AVENUE,Multifamily Incentives Program,Brooklyn,11233.0,41.0,359,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
MCGEE PLAZA HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10451.0,17.0,141,BX35,Preservation,Non Prevailing Wage,0,6,1,7,0,7,7
PUTNAM,Multifamily Finance Program,Brooklyn,11221.0,36.0,295,BK35,Preservation,Non Prevailing Wage,0,3,1,5,0,5,5
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11207.0,42.0,1132,BK85,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
114 JEFFERSON STREET,Multifamily Incentives Program,Brooklyn,11206.0,34.0,425,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10030.0,9.0,226,MN03,Preservation,Non Prevailing Wage,3,10,3,16,0,16,16
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
146 LINDEN BOULEVARD APARTMENTS,Multifamily Incentives Program,Brooklyn,11226.0,40.0,822,BK60,New Construction,Non Prevailing Wage,0,0,0,6,0,6,18
LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,Multifamily Finance Program,Bronx,10455.0,17.0,71,BX34,New Construction,Non Prevailing Wage,56,58,99,281,0,281,281
LIC RAMPS,Multifamily Incentives Program,Queens,11101.0,26.0,19,QN31,New Construction,Non Prevailing Wage,0,0,12,106,0,106,348
TBX901-RSE,Multifamily Finance Program,Bronx,10456.0,16.0,149,BX35,Preservation,Non Prevailing Wage,0,0,16,16,0,16,16
MHANY 75,Multifamily Finance Program,Brooklyn,11221.0,34.0,417,BK78,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
ALMA - 545 PROSPECT PLACE,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,0,0,14,155,0,155,155
EAST VILLAGE II HDFC.HUDMF.FY18,Multifamily Finance Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,13,4,0,17,0,17,17
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,406,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,262,122,0,384,384,384
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11412.0,27.0,376,QN08,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
2015 Monterey Avenue LLC aka PRC Monterey,Multifamily Finance Program,Bronx,10457.0,15.0,37504,BX17,Preservation,Non Prevailing Wage,0,0,0,0,0,0,18
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,114,61,0,175,175,175
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,76,BK32,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
MHANY 2,Multifamily Finance Program,Brooklyn,11216.0,36.0,221,BK61,Preservation,Non Prevailing Wage,0,0,5,5,0,5,5
541 4TH AVENUE,Multifamily Incentives Program,Brooklyn,11215.0,39.0,141,BK37,New Construction,Non Prevailing Wage,0,0,26,26,0,26,134
VICTOR SANCHEZ HDFC.HRP.FY17,Multifamily Finance Program,Manhattan,10027.0,7.0,21303,MN06,Preservation,Non Prevailing Wage,2,15,6,24,0,24,24
140-26 FRANKLIN AVENUE HPO FY17,Multifamily Finance Program,Queens,11355.0,20.0,857,QN22,Preservation,Non Prevailing Wage,0,0,2,54,0,54,54
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,143,BX14,Preservation,Non Prevailing Wage,38,9,5,54,0,54,54
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,1,9,10,0,10,10
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10037.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
MORRIS II APARTMENTS,Multifamily Finance Program,Bronx,10451.0,17.0,65,BX34,New Construction,Non Prevailing Wage,46,5,102,154,0,154,154
MHANY 2,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
111 TROUTMAN STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,425,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
JAMIES PLACE HDFC. HUDMF. FY18,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,27,4,2,35,0,35,35
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,175,BX14,Preservation,Non Prevailing Wage,33,5,2,42,0,42,42
MHANY East NY Partnership,Multifamily Finance Program,Brooklyn,11208.0,42.0,1196,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,4,39,0,39,39
CSH,Multifamily Finance Program,Brooklyn,11216.0,36.0,275,BK35,Preservation,Non Prevailing Wage,0,3,3,6,0,6,6
FENIMORE STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11225.0,40.0,802,BK60,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
JERICHO. 2065 WALTON AVENUE,Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,New Construction,Prevailing Wage,89,0,1,90,0,90,90
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,53,BK33,Preservation,Non Prevailing Wage,1,0,1,2,0,2,2
JHB II HDFC.YR15.FY18,Multifamily Finance Program,Bronx,10456.0,17.0,151,BX35,Preservation,Non Prevailing Wage,43,1,0,45,0,45,45
2442 OCEAN AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11229.0,48.0,560,BK44,New Construction,Non Prevailing Wage,0,0,0,32,0,32,105
30 AND 42 ORIENT AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11211.0,34.0,481,BK90,New Construction,Non Prevailing Wage,0,0,2,2,0,2,9
Grand & Rogers Cluster - JGV,Multifamily Finance Program,Bronx,10456.0,16.0,17701,BX14,Preservation,Non Prevailing Wage,0,0,0,12,0,12,12
Longfellow Avenue,Multifamily Finance Program,Bronx,10474.0,17.0,11502,BX27,Preservation,Non Prevailing Wage,0,6,11,25,0,25,25
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,9.0,196,MN34,Preservation,Non Prevailing Wage,0,12,5,18,0,18,18
VICTORY COMMONS,Multifamily Finance Program,Bronx,10459.0,17.0,133,BX35,New Construction,Non Prevailing Wage,18,17,44,95,0,95,95
APEX PLACE,Multifamily Finance Program,Queens,11375.0,29.0,745,QN17,New Construction,Non Prevailing Wage,14,29,28,144,0,144,144
1184 RIVER AVE,Multifamily Finance Program,Bronx,10452.0,16.0,197,BX63,New Construction,Non Prevailing Wage,62,51,136,250,0,250,250
FOUNTAIN SEAVIEW BUILDING B6,Multifamily Incentives Program,Brooklyn,11208.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,43,43,334,422,0,422,422
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11238.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
197 FREEMAN STREET,Multifamily Incentives Program,Brooklyn,11222.0,33.0,575,BK76,New Construction,Non Prevailing Wage,0,0,0,6,0,6,20
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,920,BK81,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
2006 LEXINGTON AVENUE,Multifamily Incentives Program,Manhattan,10035.0,9.0,196,MN34,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
TMN906 - NMIC,Multifamily Finance Program,Manhattan,10033.0,10.0,271,MN35,Preservation,Non Prevailing Wage,0,0,20,21,0,21,21
SUS. 1674 Broadway and 768 Decatur. Henry Apts.,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,New Construction,Prevailing Wage,56,0,22,79,0,79,79
FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,Brooklyn,11238.0,35.0,207,BK64,Preservation,Non Prevailing Wage,6,0,6,12,0,12,12
251 WEST 117TH STREET,Multifamily Incentives Program,Manhattan,10026.0,9.0,218,MN11,New Construction,Non Prevailing Wage,0,0,0,32,0,32,104
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
2700 JEROME AVENUE,Multifamily Finance Program,Bronx,10468.0,14.0,40304,BX28,New Construction,Non Prevailing Wage,40,0,70,136,0,136,136
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11423.0,27.0,50202,QN07,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
168-05 DEPOT ROAD,Multifamily Incentives Program,Queens,11358.0,19.0,1175,QN51,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
FOX STREET PRC,Multifamily Finance Program,Bronx,10459.0,17.0,159,BX27,New Construction,Non Prevailing Wage,8,32,40,80,0,80,80
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,10,10,0,10,10
44 KENT STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11222.0,33.0,565,BK76,New Construction,Non Prevailing Wage,0,0,0,13,0,13,42
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,11,11,0,11,11
350 RUTLAND ROAD,Multifamily Incentives Program,Brooklyn,11225.0,40.0,804,BK60,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
15 Hudson Yards Apartments,Multifamily Incentives Program,Manhattan,10001.0,3.0,99,MN13,New Construction,Non Prevailing Wage,0,0,106,106,0,106,106
MHANY 2,Multifamily Finance Program,Brooklyn,11233.0,41.0,307,BK61,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,437,BK77,Preservation,Non Prevailing Wage,0,3,1,4,0,4,4
Bronx Shepherds,Multifamily Finance Program,Bronx,10459.0,16.0,153,BX75,Preservation,Non Prevailing Wage,0,4,11,15,0,15,15
NORTH BROOKLYN OPPORTUNITIES (NBO),Multifamily Finance Program,Brooklyn,11222.0,33.0,499,BK76,New Construction,Non Prevailing Wage,0,0,4,4,0,4,4
Bronx Shepherds,Multifamily Finance Program,Bronx,10457.0,15.0,231,BX41,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10010.0,4.0,60,MN50,Preservation,Non Prevailing Wage,0,0,6,53,0,53,53
COMMUNITY ACCESS.985 BRUCKNER BLVD,Multifamily Finance Program,Bronx,10459.0,17.0,89,BX27,New Construction,Non Prevailing Wage,120,0,94,215,0,215,215
1214 GREENE AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,419,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
MHANY 2004 HDFC.HPOP.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,188,MN34,Preservation,Non Prevailing Wage,0,6,24,30,0,30,30
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10027.0,9.0,215,MN03,Preservation,Non Prevailing Wage,0,1,13,14,0,14,14
FAC RENAISSANCE LP.YR15.FY17,Multifamily Finance Program,Brooklyn,11217.0,33.0,127,BK38,Preservation,Non Prevailing Wage,0,7,1,8,0,8,8
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10027.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,108,67,0,175,175,175
874 Willoughby Avenue,Multifamily Incentives Program,Brooklyn,11221.0,36.0,287,BK35,New Construction,Non Prevailing Wage,0,0,19,19,0,19,93
HIGHLAWN TERRACE INC. (LOAN II),Multifamily Finance Program,Brooklyn,11223.0,47.0,410,BK29,Preservation,Non Prevailing Wage,5,57,0,0,62,62,62
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,267,BK75,Preservation,Non Prevailing Wage,0,2,1,3,0,3,3
1489-1495 BROOKLYN AVENUE,Multifamily Incentives Program,Brooklyn,11213.0,35.0,339,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10031.0,7.0,229,MN04,Preservation,Non Prevailing Wage,0,0,14,15,0,15,15
HERITAGE HOLDINGS HDFC.HPO.FY20,Multifamily Finance Program,Manhattan,10029.0,9.0,17402,MN33,Preservation,Non Prevailing Wage,0,0,0,204,0,204,272
3128 HENRY HUDSON PARKWAY EAST,Multifamily Incentives Program,Bronx,10463.0,11.0,297,BX29,New Construction,Non Prevailing Wage,0,0,0,14,0,14,46
